vector_size=256, walk_length=30, context_size=19, walks_per_node=1, num_negative_samples=3, p=0.7203697149280357, q=1.8700630050733273, score=20.693910265651038
vector_size=64, walk_length=20, context_size=14, walks_per_node=3, num_negative_samples=3, p=1.1922559177009124, q=0.5589239592419589, score=17.97685428115071
vector_size=512, walk_length=40, context_size=11, walks_per_node=1, num_negative_samples=1, p=0.48547071251953117, q=3.3459553505256276, score=21.35010927039666
vector_size=256, walk_length=35, context_size=14, walks_per_node=3, num_negative_samples=4, p=0.45115714762572556, q=1.380664511828928, score=21.008170773196174
vector_size=256, walk_length=35, context_size=6, walks_per_node=2, num_negative_samples=1, p=0.39204872830440984, q=2.952595818980604, score=22.49067309411093
vector_size=64, walk_length=50, context_size=14, walks_per_node=3, num_negative_samples=3, p=1.14104000886977, q=0.7723755605432683, score=17.65682752576071
vector_size=64, walk_length=45, context_size=13, walks_per_node=3, num_negative_samples=1, p=2.65210689853669, q=1.484705269653822, score=18.119857227703363
vector_size=256, walk_length=50, context_size=15, walks_per_node=2, num_negative_samples=3, p=0.9393179730899902, q=0.5325376777439395, score=20.704866136556284
vector_size=64, walk_length=35, context_size=17, walks_per_node=1, num_negative_samples=4, p=0.30433056595073565, q=0.307696600086504, score=17.238197932223525
vector_size=256, walk_length=25, context_size=16, walks_per_node=2, num_negative_samples=1, p=0.8209245440742315, q=0.9088474687948205, score=19.775346983964067
vector_size=64, walk_length=45, context_size=10, walks_per_node=1, num_negative_samples=1, p=0.733569948433938, q=0.4663309069693007, score=18.60768179537893
vector_size=1024, walk_length=30, context_size=5, walks_per_node=2, num_negative_samples=2, p=0.282414869588238, q=3.69219475466635, score=24.232656568044607
vector_size=1024, walk_length=30, context_size=5, walks_per_node=2, num_negative_samples=2, p=0.25187893026737623, q=3.725050481258265, score=24.36239714455407
vector_size=1024, walk_length=25, context_size=5, walks_per_node=2, num_negative_samples=2, p=0.29557398085631276, q=2.2155474552565098, score=24.07754450101774
vector_size=1024, walk_length=30, context_size=8, walks_per_node=1, num_negative_samples=2, p=0.2684499343881909, q=3.7972771033256936, score=23.99278065769823
vector_size=128, walk_length=30, context_size=19, walks_per_node=1, num_negative_samples=2, p=2.079964014527398, q=2.1494924979933105, score=18.867162948397848
vector_size=1024, walk_length=30, context_size=8, walks_per_node=1, num_negative_samples=2, p=0.5871954679047227, q=2.189214479716926, score=23.134186353597848
vector_size=1024, walk_length=20, context_size=7, walks_per_node=1, num_negative_samples=5, p=1.6972639893650259, q=1.624699248804684, score=23.150908472347957
vector_size=1024, walk_length=25, context_size=5, walks_per_node=1, num_negative_samples=2, p=0.258169567780412, q=2.731244334726343, score=24.403337504252608
vector_size=128, walk_length=25, context_size=9, walks_per_node=1, num_negative_samples=4, p=3.7219334686477237, q=2.701823236589167, score=21.602094301217257
vector_size=512, walk_length=20, context_size=7, walks_per_node=1, num_negative_samples=3, p=0.3965952744859959, q=1.7475267671801462, score=22.803780352087095
vector_size=1024, walk_length=25, context_size=11, walks_per_node=1, num_negative_samples=2, p=0.6225026467967841, q=1.1543183412850853, score=21.212872571688877
vector_size=1024, walk_length=30, context_size=5, walks_per_node=1, num_negative_samples=2, p=0.25624558866487906, q=3.6100957504184974, score=24.52442870899477
vector_size=1024, walk_length=30, context_size=5, walks_per_node=1, num_negative_samples=2, p=0.3589432234826276, q=2.5087516826311966, score=24.220547447570393
vector_size=1024, walk_length=40, context_size=7, walks_per_node=1, num_negative_samples=2, p=0.25942979184565923, q=3.969674180218716, score=24.105222490673096
vector_size=1024, walk_length=25, context_size=6, walks_per_node=1, num_negative_samples=3, p=0.34539170106406447, q=2.9207487020879777, score=24.395264757269796
vector_size=1024, walk_length=25, context_size=6, walks_per_node=1, num_negative_samples=3, p=0.5187004068327471, q=2.9439808174059876, score=24.16173171955277
vector_size=128, walk_length=20, context_size=9, walks_per_node=1, num_negative_samples=4, p=0.3386900888674452, q=1.8993944933891231, score=20.25682867901028
vector_size=1024, walk_length=25, context_size=6, walks_per_node=1, num_negative_samples=3, p=0.41394720259132683, q=1.1709930797802144, score=23.87745570080093
vector_size=512, walk_length=25, context_size=8, walks_per_node=1, num_negative_samples=5, p=0.32900021406814445, q=3.022520787207776, score=22.72824250531936
vector_size=1024, walk_length=20, context_size=6, walks_per_node=1, num_negative_samples=3, p=0.6012046544065062, q=2.480040728028015, score=24.158271970845853
vector_size=1024, walk_length=20, context_size=9, walks_per_node=1, num_negative_samples=3, p=1.543404672934766, q=0.7916983714340459, score=21.58018255940677
vector_size=1024, walk_length=30, context_size=5, walks_per_node=1, num_negative_samples=2, p=0.2723086712225826, q=3.205972523852008, score=24.246495562872283
vector_size=1024, walk_length=30, context_size=5, walks_per_node=1, num_negative_samples=1, p=0.2505486255550014, q=3.451358742304362, score=23.85496733420596
vector_size=512, walk_length=35, context_size=7, walks_per_node=1, num_negative_samples=2, p=0.4828810943296914, q=1.9832938584005033, score=22.025913517814825
