vector_size=512, walk_length=50, context_size=7, walks_per_node=1, num_negative_samples=2, p=1, q=1, score=22.153924219970822
vector_size=128, walk_length=25, context_size=9, walks_per_node=2, num_negative_samples=3, p=1, q=1, score=21.145984096688444
vector_size=512, walk_length=50, context_size=8, walks_per_node=1, num_negative_samples=3, p=1, q=1, score=23.575880938514498
vector_size=128, walk_length=50, context_size=14, walks_per_node=3, num_negative_samples=4, p=1, q=1, score=19.35902388956482
vector_size=128, walk_length=25, context_size=13, walks_per_node=2, num_negative_samples=5, p=1, q=1, score=20.11901535551801
vector_size=512, walk_length=45, context_size=11, walks_per_node=1, num_negative_samples=3, p=1, q=1, score=22.931791054243096
vector_size=128, walk_length=30, context_size=12, walks_per_node=1, num_negative_samples=2, p=1, q=1, score=20.323140529226226
vector_size=1024, walk_length=25, context_size=18, walks_per_node=1, num_negative_samples=4, p=1, q=1, score=19.670977897972012
vector_size=64, walk_length=30, context_size=13, walks_per_node=1, num_negative_samples=5, p=1, q=1, score=18.140039095160386
vector_size=256, walk_length=30, context_size=16, walks_per_node=3, num_negative_samples=3, p=1, q=1, score=20.31968078051931
vector_size=256, walk_length=35, context_size=11, walks_per_node=1, num_negative_samples=4, p=1, q=1, score=22.38053776027401
vector_size=64, walk_length=25, context_size=5, walks_per_node=2, num_negative_samples=3, p=1, q=1, score=21.43544973850066
vector_size=512, walk_length=45, context_size=7, walks_per_node=2, num_negative_samples=1, p=1, q=1, score=21.614780046475957
vector_size=512, walk_length=45, context_size=9, walks_per_node=1, num_negative_samples=2, p=1, q=1, score=21.672442524924605
vector_size=512, walk_length=50, context_size=9, walks_per_node=1, num_negative_samples=2, p=1, q=1, score=22.133742352513796
vector_size=512, walk_length=40, context_size=9, walks_per_node=2, num_negative_samples=3, p=1, q=1, score=23.44614036200504
vector_size=512, walk_length=40, context_size=8, walks_per_node=2, num_negative_samples=1, p=1, q=1, score=21.27111167492201
vector_size=1024, walk_length=40, context_size=5, walks_per_node=1, num_negative_samples=1, p=1, q=1, score=23.07191087687331
