vector_size=128, window=9, alpha=0.00020008058404344481, min_alpha=0.00010572360210525837, negative=16, sg=1, score=12.35245613326952
vector_size=128, window=6, alpha=0.0009403133275911673, min_alpha=0.0009788806444372344, negative=18, sg=1, score=17.986656902486985
vector_size=128, window=4, alpha=0.01791045325143816, min_alpha=0.0017439923350774237, negative=18, sg=1, score=21.918661307900337
vector_size=64, window=4, alpha=0.07925263260345244, min_alpha=0.0001804950342602967, negative=12, sg=1, score=24.1432797264492
vector_size=64, window=9, alpha=0.0036989662951657522, min_alpha=0.006579725563703095, negative=18, sg=1, score=23.235672315667472
vector_size=128, window=7, alpha=0.06748550872082075, min_alpha=0.0010658739371491694, negative=5, sg=1, score=24.396994631623254
vector_size=256, window=7, alpha=0.014896053226978841, min_alpha=0.0005073066279101511, negative=7, sg=1, score=23.509569088298555
vector_size=128, window=7, alpha=0.0006585791729479966, min_alpha=0.0002032017608914595, negative=19, sg=1, score=14.46463271884352
vector_size=128, window=6, alpha=0.0001374706649198557, min_alpha=0.000552922065389752, negative=16, sg=1, score=15.202712442986224
vector_size=128, window=5, alpha=0.00013764551014585583, min_alpha=0.00306641951745219, negative=18, sg=1, score=21.854655956822334

vector_size=128, window=9, alpha=0.00107534082135487, min_alpha=0.00011644873960369766, negative=16, sg=1, score=16.74114736799617
vector_size=128, window=8, alpha=0.001815989896465437, min_alpha=0.0030523667677684625, negative=5, sg=1, score=23.15379159627039
vector_size=64, window=10, alpha=0.049972034194906895, min_alpha=0.00030161219394792303, negative=13, sg=1, score=25.036471517618768
vector_size=64, window=4, alpha=0.0025309386879695433, min_alpha=0.0015331285590298393, negative=19, sg=1, score=19.35902388956482
vector_size=512, window=6, alpha=0.037415993484514284, min_alpha=0.00016064945303762135, negative=17, sg=1, score=23.028087393252335
vector_size=256, window=3, alpha=0.04128796629129566, min_alpha=0.001376920338921557, negative=11, sg=1, score=21.720302382036984
vector_size=512, window=7, alpha=0.0010936347908817707, min_alpha=0.005763189341530385, negative=5, sg=1, score=23.804800977955633
vector_size=64, window=6, alpha=0.00011809783715835772, min_alpha=0.0054722625906931275, negative=16, sg=1, score=22.839531088725256
vector_size=64, window=5, alpha=0.00034844365329318825, min_alpha=0.0006329067229913441, negative=14, sg=1, score=15.147933088460007
vector_size=128, window=8, alpha=0.00273806104398886, min_alpha=0.00019559092928102698, negative=8, sg=1, score=20.530725451641363
vector_size=256, window=10, alpha=0.011543676851895498, min_alpha=0.0004306194835361709, negative=11, sg=1, score=23.70562151502396
vector_size=512, window=10, alpha=0.007485089526550836, min_alpha=0.009008277126266043, negative=5, sg=1, score=24.136360229035365
vector_size=512, window=10, alpha=0.010867631519723482, min_alpha=0.000356697405295818, negative=9, sg=1, score=23.8532374598525
vector_size=512, window=10, alpha=0.012276712881714464, min_alpha=0.009322626441215991, negative=13, sg=1, score=23.42134549627212
vector_size=64, window=9, alpha=0.09185453322010625, min_alpha=0.0024905482059406825, negative=8, sg=1, score=25.11546911309342
vector_size=64, window=8, alpha=0.09528648206426163, min_alpha=0.0020723196960694434, negative=8, sg=1, score=25.12815485835212
vector_size=64, window=8, alpha=0.08503468900775962, min_alpha=0.0023690650330299204, negative=8, sg=1, score=25.03877801675672
vector_size=64, window=7, alpha=0.029161271760787814, min_alpha=0.0008366560599365975, negative=7, sg=1, score=24.196905831406447
vector_size=64, window=9, alpha=0.07907343727968177, min_alpha=0.003124693547991737, negative=10, sg=1, score=25.061266383351686
vector_size=64, window=9, alpha=0.022740600347469265, min_alpha=0.0016296791011077346, negative=7, sg=1, score=24.233233192829093
vector_size=256, window=7, alpha=0.09887618289422047, min_alpha=0.004490380928456928, negative=11, sg=1, score=21.690317893243687
vector_size=64, window=9, alpha=0.0730883013473629, min_alpha=0.0030570953031897087, negative=10, sg=1, score=25.12815485835212
vector_size=64, window=8, alpha=0.02482669911793813, min_alpha=0.00224956805008436, negative=9, sg=1, score=24.2286201945532
vector_size=64, window=9, alpha=0.05856586334931207, min_alpha=0.0010068864000236297, negative=7, sg=1, score=24.96612329391142
vector_size=64, window=9, alpha=0.005646059018548179, min_alpha=0.0036193829143309265, negative=10, sg=1, score=23.47900797472077
vector_size=64, window=8, alpha=0.019979186324891516, min_alpha=0.001972426313538433, negative=9, sg=1, score=23.957029921060066
vector_size=64, window=9, alpha=0.05759788123646046, min_alpha=0.0008945805075740499, negative=12, sg=1, score=25.05088713723093
vector_size=64, window=7, alpha=0.01586440278305543, min_alpha=0.0061909747391542735, negative=6, sg=1, score=23.800187979679745
vector_size=256, window=8, alpha=0.006045050630442875, min_alpha=0.0012365127279126847, negative=8, sg=1, score=23.44268061329812
vector_size=128, window=9, alpha=0.09945263694981361, min_alpha=0.0027539711652408484, negative=15, sg=1, score=24.50136371761531

vector_size=128, window=4, alpha=0.01026514534045924, min_alpha=0.0005631671787982797, negative=12, sg=1, score=21.99881215294396
vector_size=64, window=7, alpha=0.08392063766148307, min_alpha=0.0001773818550428231, negative=13, sg=1, score=25.031281894558393
vector_size=128, window=9, alpha=0.0004437471356941285, min_alpha=0.004114702839114509, negative=11, sg=1, score=23.615668048644068

vector_size=64, window=6, alpha=0.007736720613114226, min_alpha=0.0001918365168487791, negative=8, sg=1, score=22.393800130317203
vector_size=512, window=9, alpha=0.003928589078405549, min_alpha=0.00016958800211876147, negative=6, sg=1, score=22.074926624496175
vector_size=512, window=5, alpha=0.0016128871179387529, min_alpha=0.0012957804363950024, negative=6, sg=1, score=18.32225252705812
vector_size=128, window=10, alpha=0.049255172941279186, min_alpha=0.005238414219089908, negative=13, sg=1, score=24.279363175588013
vector_size=256, window=4, alpha=0.006680050707187986, min_alpha=0.0014930900869556927, negative=18, sg=1, score=21.67532564884704
vector_size=64, window=10, alpha=0.09506125663384499, min_alpha=0.0019124655313188053, negative=18, sg=1, score=25.316134538094715
vector_size=64, window=5, alpha=0.0015863506762329438, min_alpha=0.009196165327557213, negative=14, sg=1, score=22.647515035491256
vector_size=128, window=5, alpha=0.0012517908157693622, min_alpha=0.009236351276335104, negative=14, sg=1, score=22.61926042105142
